days16+,N20_gwb,Sum_weekly_mean_larvae m³,Column1,N20 Age 0,GERAS_N20_comp,GERAS Age 1,GERAS_Age1_adj,ICESrecruitm_thousands
18,437,42188707,1992,1060,,,49188,3532189
15,3404,303314773,1993,3044,,491.88,41573,2995298
5,12429,1018711184,1994,12515,3044,415.73,167534,4663292
12,6622,538010748,1995,7930,12515,1675.34,143946,4103541
1,15691,433015608,1996,21012,7930,1439.46,19554,4183815
18,3763,492920359,1997,4872,21012,1955.4,80135,3346948
21,14332,2149780002,1998,16743,4872,801.35,133871,4814834
21,14745,2230074198,1999,20364,16743,1338.71,142988,5018101
33,2451,360925635,2000,3026,20364,1429.88,99182,2880777
7,4652,405069973,2001,4845,,,8375566667,2794595
28,8086,1326539211,2002,11324,4845,837.56,123848,2787665
30,3248,59652514,2003,5507,11324,1238.48,96886,2918205
12,5715,876393776,2004,5640,5507,968.86,7501989936,1964299
10,3386,321434081,2005,3887,5640,750.2,9408917689,1788188
13,3057,327612614,2006,3774,3887,940.89,5588511412,1348815
33,1172,193306803,2007,1829,3774,558.85,3927373607,1488329
27,1406,169179625,2008,1622,1829,392.74,27095891,1206458
4,4221,787977018,2009,6464,1622,270.96,5346326395,1194527
9,3339,1141753631,2010,7037,6464,534.63,1206762105,1753080
27,1971,469713678,2011,4444,7037,1206.76,7550343261,1459229
16,1021,79953947,2012,1140,4444,755.03,8938370928,1172681
23,3064,370726028,2013,3021,1140,893.84,76932,1946458
33,422,48237,2014,539,3021,769.32,4407384412,1575040
21,1222,190372089,2015,2478,539,440.74,4933658262,1213213
29,144,37909467,2016,442,2478,493.37,46394,934898
26,591,88370545,2017,1247,442,463.94,42853,803303
,,,2018,1563,1247,428.53,,
,,,2019,1317,1563,247.87,,
,,,2020,239,1317,185.81,,
